"","county","population"
"1","Alachua FL","278475"
"2","Baker FL","28263"
"3","Bay FL","175204"
"4","Bradford FL","28306"
"5","Brevard FL","606603"
"6","Broward FL","1944376"
"7","Calhoun FL","13644"
"8","Charlotte FL","186850"
"9","Citrus FL","153855"
"10","Clay FL","218250"
"11","Collier FL","375760"
"12","Columbia FL","69701"
"13","DeSoto FL","33975"
"14","Dixie FL","16758"
"15","Duval FL","995560"
"16","Escambia FL","321897"
"17","Flagler FL","115383"
"18","Franklin FL","12452"
"19","Gadsden FL","43820"
"20","Gilchrist FL","17862"
"21","Glades FL","12127"
"22","Gulf FL","14200"
"23","Hamilton FL","14006"
"24","Hardee FL","25326"
"25","Hendry FL","39626"
"26","Hernando FL","194515"
"27","Highlands FL","101238"
"28","Hillsborough FL","1459773"
"29","Holmes FL","19657"
"30","Indian River FL","159789"
"31","Jackson FL","47309"
"32","Jefferson FL","14507"
"33","Lafayette FL","8225"
"34","Lake FL","383959"
"35","Lee FL","760820"
"36","Leon FL","292203"
"37","Levy FL","42912"
"38","Liberty FL","7976"
"39","Madison FL","17970"
"40","Manatee FL","399705"
"41","Marion FL","375906"
"42","Martin FL","158435"
"43","Miami-Dade FL","2701762"
"44","Monroe FL","82879"
"45","Nassau FL","90355"
"46","Okaloosa FL","211664"
"47","Okeechobee FL","39636"
"48","Orange FL","1429901"
"49","Osceola FL","388664"
"50","Palm Beach FL","1492198"
"51","Pasco FL","561897"
"52","Pinellas FL","959103"
"53","Polk FL","725041"
"54","Putnam FL","73327"
"55","St. Johns FL","273427"
"56","St. Lucie FL","329227"
"57","Santa Rosa FL","187991"
"58","Sarasota FL","434005"
"59","Seminole FL","470855"
"60","Sumter FL","129751"
"61","Suwannee FL","43472"
"62","Taylor FL","21800"
"63","Union FL","16138"
"64","Volusia FL","553561"
"65","Wakulla FL","33766"
"66","Walton FL","75306"
"67","Washington FL","25322"
